tp_pct,sl_pct,trades,win_rate_pct,avg_return_pct,median_return_pct,expectancy_pct
0.5,0.75,63,52.38,-0.0906,0.5,-0.0906
0.75,1.5,63,58.73,-0.0964,0.75,-0.0964
2.0,2.0,63,53.97,-0.1008,0.0439,-0.1008
0.5,0.5,63,38.1,-0.119,-0.5,-0.119
0.75,2.0,63,60.32,-0.1208,0.75,-0.1208
1.5,2.0,63,53.97,-0.1229,0.0439,-0.1229
0.75,0.5,63,30.16,-0.1343,-0.5,-0.1343
2.0,1.5,63,50.79,-0.1375,0.0189,-0.1375
1.0,1.5,63,53.97,-0.1389,0.0439,-0.1389
0.5,1.5,63,65.08,-0.1418,0.5,-0.1418
0.5,1.0,63,55.56,-0.1425,0.5,-0.1425
1.5,1.5,63,50.79,-0.1517,0.0189,-0.1517
0.5,2.0,63,68.25,-0.1534,0.5,-0.1534
0.75,1.25,63,52.38,-0.1679,0.0372,-0.1679
1.0,2.0,63,55.56,-0.1701,0.2652,-0.1701
1.5,0.5,63,22.22,-0.1737,-0.5,-0.1737
1.25,2.0,63,53.97,-0.1775,0.0439,-0.1775
1.0,0.5,63,23.81,-0.1801,-0.5,-0.1801
0.75,0.75,63,38.1,-0.1853,-0.75,-0.1853
0.5,1.25,63,58.73,-0.1861,0.5,-0.1861
1.5,0.75,63,31.75,-0.1932,-0.75,-0.1932
1.25,0.5,63,22.22,-0.1966,-0.5,-0.1966
2.0,0.5,63,19.05,-0.1975,-0.5,-0.1975
1.25,1.5,63,50.79,-0.1984,0.0189,-0.1984
2.0,1.25,63,44.44,-0.2052,-0.46,-0.2052
2.0,0.75,63,30.16,-0.2072,-0.75,-0.2072
1.0,1.25,63,47.62,-0.2103,-0.4367,-0.2103
1.0,0.75,63,33.33,-0.2194,-0.75,-0.2194
1.5,1.25,63,44.44,-0.2212,-0.46,-0.2212
1.25,0.75,63,31.75,-0.2279,-0.75,-0.2279
0.75,1.0,63,42.86,-0.2311,-0.8271,-0.2311
1.5,1.0,63,36.51,-0.2447,-1.0,-0.2447
1.25,1.25,63,44.44,-0.2639,-0.46,-0.2639
2.0,1.0,63,34.92,-0.273,-1.0,-0.273
1.0,1.0,63,38.1,-0.2749,-1.0,-0.2749
1.25,1.0,63,36.51,-0.2835,-1.0,-0.2835
