date,active_positions,active_assets
2024-06-29,1,ETH
2024-06-30,1,ETH
2024-07-01,1,ETH
2024-07-02,0,
2024-07-03,2,"BTC,ETH"
2024-07-04,4,"BTC,ETH"
2024-07-05,6,"BTC,ETH"
2024-07-06,4,"BTC,ETH"
2024-07-07,2,"BTC,ETH"
2024-07-08,0,
2024-07-09,0,
2024-07-10,0,
2024-07-11,1,BTC
2024-07-12,1,BTC
2024-07-13,1,BTC
2024-07-14,0,
2024-07-15,0,
2024-07-16,0,
2024-07-17,1,ETH
2024-07-18,2,"BTC,ETH"
2024-07-19,2,"BTC,ETH"
2024-07-20,1,BTC
2024-07-21,0,
2024-07-22,0,
2024-07-23,1,BTC
2024-07-24,2,BTC
2024-07-25,3,"BTC,ETH"
2024-07-26,2,"BTC,ETH"
2024-07-27,1,ETH
2024-07-28,0,
2024-07-29,0,
2024-07-30,1,BTC
2024-07-31,3,"BTC,ETH"
2024-08-01,4,"BTC,ETH"
2024-08-02,4,"BTC,ETH"
2024-08-03,4,"BTC,ETH"
2024-08-04,5,"BTC,ETH"
2024-08-05,6,"BTC,ETH"
2024-08-06,4,"BTC,ETH"
2024-08-07,2,"BTC,ETH"
2024-08-08,0,
2024-08-09,0,
2024-08-10,2,"BTC,ETH"
2024-08-11,3,"BTC,ETH"
2024-08-12,3,"BTC,ETH"
2024-08-13,1,BTC
2024-08-14,1,ETH
2024-08-15,3,"BTC,ETH"
2024-08-16,3,"BTC,ETH"
2024-08-17,2,"BTC,ETH"
2024-08-18,0,
2024-08-19,0,
2024-08-20,0,
2024-08-21,0,
2024-08-22,0,
2024-08-23,0,
2024-08-24,0,
2024-08-25,0,
2024-08-26,2,"BTC,ETH"
2024-08-27,4,"BTC,ETH"
2024-08-28,5,"BTC,ETH"
2024-08-29,3,"BTC,ETH"
2024-08-30,1,BTC
2024-08-31,2,"BTC,ETH"
2024-09-01,4,"BTC,ETH"
2024-09-02,4,"BTC,ETH"
2024-09-03,2,"BTC,ETH"
2024-09-04,0,
2024-09-05,0,
2024-09-06,2,"BTC,ETH"
2024-09-07,3,"BTC,ETH"
2024-09-08,3,"BTC,ETH"
2024-09-09,1,BTC
2024-09-10,0,
2024-09-11,0,
2024-09-12,0,
2024-09-13,0,
2024-09-14,0,
2024-09-15,2,"BTC,ETH"
2024-09-16,4,"BTC,ETH"
2024-09-17,4,"BTC,ETH"
2024-09-18,2,"BTC,ETH"
2024-09-19,0,
2024-09-20,0,
2024-09-21,0,
2024-09-22,0,
2024-09-23,0,
2024-09-24,0,
2024-09-25,1,ETH
2024-09-26,1,ETH
2024-09-27,1,ETH
2024-09-28,0,
2024-09-29,1,ETH
2024-09-30,3,"BTC,ETH"
2024-10-01,5,"BTC,ETH"
2024-10-02,6,"BTC,ETH"
2024-10-03,5,"BTC,ETH"
2024-10-04,3,"BTC,ETH"
2024-10-05,1,ETH
2024-10-06,0,
2024-10-07,0,
2024-10-08,1,BTC
2024-10-09,2,BTC
2024-10-10,3,BTC
2024-10-11,2,BTC
2024-10-12,1,BTC
2024-10-13,0,
2024-10-14,0,
2024-10-15,0,
2024-10-16,0,
2024-10-17,0,
2024-10-18,0,
2024-10-19,0,
