asset,entry_date,exit_date,entry_price,exit_price,rsi2,return_pct
ETH,2024-06-29,2024-07-02,3372.93,3415.81,0.0,1.27
BTC,2024-07-03,2024-07-06,60146.6,58234.9,0.0,-3.18
ETH,2024-07-03,2024-07-06,3292.88,3068.53,0.0,-6.81
BTC,2024-07-04,2024-07-07,57021.1,55845.4,0.0,-2.06
ETH,2024-07-04,2024-07-07,3057.47,2929.7,0.0,-4.18
BTC,2024-07-05,2024-07-08,56650.1,56699.3,0.0,0.09
ETH,2024-07-05,2024-07-08,2981.95,3017.22,0.0,1.18
BTC,2024-07-11,2024-07-14,57350.0,60810.0,0.0,6.03
ETH,2024-07-17,2024-07-20,3387.54,3518.62,0.0,3.87
BTC,2024-07-18,2024-07-21,63960.7,68137.1,0.0,6.53
BTC,2024-07-23,2024-07-26,65900.8,67914.7,0.0,3.06
BTC,2024-07-24,2024-07-27,65367.0,67900.8,0.0,3.88
ETH,2024-07-25,2024-07-28,3173.35,3270.02,0.0,3.05
BTC,2024-07-30,2024-08-02,66175.1,61409.9,0.0,-7.2
BTC,2024-07-31,2024-08-03,64638.1,60688.5,0.0,-6.11
ETH,2024-07-31,2024-08-03,3230.87,2902.03,0.0,-10.18
ETH,2024-08-01,2024-08-04,3201.93,2687.17,0.0,-16.08
ETH,2024-08-02,2024-08-05,2985.96,2417.54,0.0,-19.04
BTC,2024-08-03,2024-08-06,60688.5,56080.0,0.0,-7.59
ETH,2024-08-03,2024-08-06,2902.03,2461.39,0.0,-15.18
ETH,2024-08-04,2024-08-07,2687.17,2343.07,0.0,-12.81
BTC,2024-08-04,2024-08-07,58103.0,55091.0,0.0,-5.18
BTC,2024-08-05,2024-08-08,54006.5,61704.7,0.0,14.25
ETH,2024-08-05,2024-08-08,2417.54,2685.81,0.0,11.1
BTC,2024-08-10,2024-08-13,60951.7,60600.0,9.8,-0.58
ETH,2024-08-10,2024-08-13,2609.2,2703.0,9.67,3.59
BTC,2024-08-11,2024-08-14,58717.7,58693.6,3.95,-0.04
ETH,2024-08-14,2024-08-17,2664.15,2613.74,0.0,-1.89
ETH,2024-08-15,2024-08-18,2570.08,2612.65,0.0,1.66
BTC,2024-08-15,2024-08-18,57554.9,58466.5,0.0,1.58
ETH,2024-08-26,2024-08-29,2681.1,2528.61,0.0,-5.69
BTC,2024-08-26,2024-08-29,62854.7,59385.5,7.25,-5.52
ETH,2024-08-27,2024-08-30,2458.44,2526.84,0.0,2.78
BTC,2024-08-27,2024-08-30,59458.0,59105.0,0.0,-0.59
BTC,2024-08-28,2024-08-31,59025.6,58972.3,0.0,-0.09
ETH,2024-08-31,2024-09-03,2512.79,2422.26,0.0,-3.6
BTC,2024-08-31,2024-09-03,58972.3,57497.6,0.0,-2.5
ETH,2024-09-01,2024-09-04,2427.5,2450.08,0.0,0.93
BTC,2024-09-01,2024-09-04,57321.2,57970.0,0.0,1.13
BTC,2024-09-06,2024-09-09,53948.3,57062.7,0.0,5.77
ETH,2024-09-06,2024-09-09,2224.45,2359.08,0.0,6.05
BTC,2024-09-07,2024-09-10,54146.4,57630.0,8.21,6.43
BTC,2024-09-15,2024-09-18,59135.1,61777.7,0.0,4.47
ETH,2024-09-15,2024-09-18,2316.87,2374.75,0.0,2.5
BTC,2024-09-16,2024-09-19,58197.2,62922.1,0.0,8.12
ETH,2024-09-16,2024-09-19,2295.03,2464.52,0.0,7.39
ETH,2024-09-25,2024-09-28,2580.05,2678.61,7.84,3.82
ETH,2024-09-29,2024-10-02,2657.89,2363.93,0.0,-11.06
ETH,2024-09-30,2024-10-03,2602.97,2349.46,0.0,-9.74
BTC,2024-09-30,2024-10-03,63338.5,60739.6,0.0,-4.1
ETH,2024-10-01,2024-10-04,2448.27,2414.51,0.0,-1.38
BTC,2024-10-01,2024-10-04,60819.1,62081.0,0.0,2.07
ETH,2024-10-02,2024-10-05,2363.93,2414.78,0.0,2.15
BTC,2024-10-02,2024-10-05,60635.3,62049.0,0.0,2.33
ETH,2024-10-03,2024-10-06,2349.46,2440.03,0.0,3.85
BTC,2024-10-08,2024-10-11,62117.9,62502.5,0.0,0.62
BTC,2024-10-09,2024-10-12,60558.0,63184.0,0.0,4.34
BTC,2024-10-10,2024-10-13,60279.5,62834.9,0.0,4.24
BTC,2024-10-22,2024-10-25,67387.6,66606.8,0.15,-1.16
ETH,2024-10-22,2024-10-25,2618.99,2436.72,0.0,-6.96
ETH,2024-10-23,2024-10-26,2523.56,2478.86,0.0,-1.77
BTC,2024-10-23,2024-10-26,66633.4,67026.0,0.33,0.59
ETH,2024-10-24,2024-10-27,2534.07,2505.42,9.92,-1.13
ETH,2024-10-25,2024-10-28,2436.72,2564.97,9.74,5.26
BTC,2024-10-31,2024-11-03,70250.1,68748.7,0.0,-2.14
ETH,2024-11-01,2024-11-04,2512.19,2395.92,0.0,-4.63
BTC,2024-11-01,2024-11-04,69490.1,67783.3,0.0,-2.46
BTC,2024-11-02,2024-11-05,69300.0,69382.7,0.0,0.12
ETH,2024-11-02,2024-11-05,2491.03,2422.26,0.0,-2.76
BTC,2024-11-03,2024-11-06,68748.7,75642.0,0.0,10.03
ETH,2024-11-03,2024-11-06,2455.53,2723.26,0.0,10.9
BTC,2024-11-04,2024-11-07,67783.3,75949.2,0.0,12.05
ETH,2024-11-04,2024-11-07,2395.92,2896.87,0.0,20.91
ETH,2024-11-13,2024-11-16,3190.95,3133.41,0.0,-1.8
ETH,2024-11-14,2024-11-17,3059.32,3075.21,0.0,0.52
BTC,2024-11-17,2024-11-20,89850.0,94364.5,0.0,5.02
ETH,2024-11-20,2024-11-23,3072.09,3397.28,0.0,10.59
BTC,2024-11-25,2024-11-28,93000.0,95637.8,4.49,2.84
BTC,2024-11-26,2024-11-29,91914.5,97478.7,0.0,6.05
ETH,2024-12-02,2024-12-05,3644.76,3791.3,8.74,4.02
BTC,2024-12-03,2024-12-06,95917.5,99872.9,4.41,4.12
ETH,2024-12-03,2024-12-06,3617.8,4005.25,0.0,10.71
ETH,2024-12-09,2024-12-12,3717.0,3882.68,2.13,4.46
BTC,2024-12-10,2024-12-13,96655.1,101483.1,0.0,5.0
ETH,2024-12-10,2024-12-13,3630.45,3907.75,0.0,7.64
BTC,2024-12-18,2024-12-21,100166.1,97232.6,1.4,-2.93
ETH,2024-12-18,2024-12-21,3624.84,3337.39,0.0,-7.93
BTC,2024-12-19,2024-12-22,97431.4,95101.9,0.0,-2.39
ETH,2024-12-19,2024-12-22,3414.63,3276.69,0.0,-4.04
BTC,2024-12-22,2024-12-25,95101.9,99310.8,0.0,4.43
ETH,2024-12-22,2024-12-25,3276.69,3494.01,0.0,6.63
BTC,2024-12-23,2024-12-26,94699.4,95645.0,0.0,1.0
ETH,2024-12-26,2024-12-29,3331.04,3349.5,1.87,0.55
ETH,2024-12-27,2024-12-30,3327.59,3355.59,0.0,0.84
BTC,2024-12-27,2024-12-30,94148.9,92611.3,0.0,-1.63
BTC,2024-12-30,2025-01-02,92611.3,96805.2,0.0,4.53
ETH,2025-01-08,2025-01-11,3326.34,3282.32,0.0,-1.32
BTC,2025-01-08,2025-01-11,95060.4,94562.1,0.0,-0.52
BTC,2025-01-09,2025-01-12,92531.7,94449.9,0.0,2.07
ETH,2025-01-09,2025-01-12,3219.04,3264.98,0.0,1.43
BTC,2025-01-12,2025-01-15,94449.9,100496.4,0.0,6.4
ETH,2025-01-13,2025-01-16,3136.15,3307.25,0.0,5.46
BTC,2025-01-19,2025-01-22,101191.1,103648.5,8.39,2.43
ETH,2025-01-19,2025-01-22,3210.68,3239.35,0.0,0.89
BTC,2025-01-23,2025-01-26,103920.2,102596.5,9.75,-1.27
