asset,regime,signals,win_rate_pct,avg_return_pct,median_return_pct,worst_return_pct,best_return_pct
BTC,BELOW_MA200,96,61.46,0.52,0.65,-10.52,11.85
BTC,ABOVE_MA200,61,59.02,-0.19,0.52,-9.46,6.31
ETH,ABOVE_MA200,34,50.0,0.84,-0.17,-8.09,18.54
ETH,BELOW_MA200,123,56.91,0.34,0.46,-19.54,42.7
GLD,BELOW_MA200,17,52.94,0.16,0.22,-3.38,5.07
GLD,ABOVE_MA200,16,50.0,-1.22,-0.16,-9.95,3.67
NVDA,BELOW_MA200,14,85.71,2.5,2.42,-2.61,8.57
NVDA,ABOVE_MA200,21,42.86,-0.59,-0.08,-6.37,9.59
QQQ,ABOVE_MA200,9,66.67,0.95,1.64,-4.25,4.81
QQQ,BELOW_MA200,7,57.14,0.19,0.62,-4.46,4.0
SPY,ABOVE_MA200,8,87.5,0.9,0.78,-0.61,2.75
SPY,BELOW_MA200,10,70.0,0.43,0.82,-2.56,4.19
