symbol,model,entry_date,exit_date,entry_price,exit_price,return_pct,capital_after
BTC,BTC_D1_RSI2,2025-01-23,2025-01-26,103920.2,102596.5,-1.27,9872.62
BTC,BTC_D1_RSI2,2025-01-26,2025-01-29,102596.5,103708.0,1.08,9979.58
BTC,BTC_D1_RSI2,2025-02-01,2025-02-04,100624.2,97868.5,-2.74,9706.28
BTC,BTC_D1_RSI2,2025-02-05,2025-02-08,96623.8,96496.5,-0.13,9693.49
BTC,BTC_D1_RSI2,2025-02-08,2025-02-11,96496.5,95767.1,-0.76,9620.22
BTC,BTC_D1_RSI2,2025-02-16,2025-02-19,96144.1,96625.7,0.5,9668.41
BTC,BTC_D1_RSI2,2025-02-24,2025-02-27,91534.4,84691.4,-7.48,8945.61
BTC,BTC_D1_RSI2,2025-03-07,2025-03-10,86762.3,78558.8,-9.46,8099.79
BTC,BTC_D1_RSI2,2025-03-10,2025-03-13,78558.8,81112.3,3.25,8363.07
BTC,BTC_D1_RSI2,2025-03-21,2025-03-24,84034.3,87505.3,4.13,8708.5
BTC,BTC_D1_RSI2,2025-03-26,2025-03-29,86899.0,82613.8,-4.93,8279.06
BTC,BTC_D1_RSI2,2025-03-29,2025-04-01,82613.8,85201.1,3.13,8538.35
BTC,BTC_D1_RSI2,2025-04-06,2025-04-09,78363.4,82556.3,5.35,8995.2
BTC,BTC_D1_RSI2,2025-04-27,2025-04-30,93817.0,94205.4,0.41,9032.44
BTC,BTC_D1_RSI2,2025-04-30,2025-05-03,94205.4,95869.9,1.77,9192.03
BTC,BTC_D1_RSI2,2025-05-04,2025-05-07,94303.1,97031.4,2.89,9457.97
BTC,BTC_D1_RSI2,2025-05-12,2025-05-15,102825.0,103761.7,0.91,9544.13
BTC,BTC_D1_RSI2,2025-05-17,2025-05-20,103169.1,106855.6,3.57,9885.16
BTC,BTC_D1_RSI2,2025-05-28,2025-05-31,107811.7,104662.0,-2.92,9596.37
BTC,BTC_D1_RSI2,2025-06-04,2025-06-07,104745.4,105654.5,0.87,9679.66
BTC,BTC_D1_RSI2,2025-06-11,2025-06-14,108702.0,105479.4,-2.96,9392.69
BTC,BTC_D1_RSI2,2025-06-20,2025-06-23,103292.0,105382.0,2.02,9582.74
BTC,BTC_D1_RSI2,2025-07-01,2025-07-04,105700.1,108018.9,2.19,9792.97
BTC,BTC_D1_RSI2,2025-07-19,2025-07-22,117909.1,119977.5,1.75,9964.76
BTC,BTC_D1_RSI2,2025-07-24,2025-07-27,118386.9,119455.0,0.9,10054.66
BTC,BTC_D1_RSI2,2025-07-29,2025-08-01,117923.0,113290.2,-3.93,9659.65
BTC,BTC_D1_RSI2,2025-08-01,2025-08-04,113290.2,115092.1,1.59,9813.29
BTC,BTC_D1_RSI2,2025-08-09,2025-08-12,116467.4,120172.0,3.18,10125.43
BTC,BTC_D1_RSI2,2025-08-15,2025-08-18,117426.7,116260.0,-0.99,10024.82
BTC,BTC_D1_RSI2,2025-08-18,2025-08-21,116260.0,112462.5,-3.27,9697.38
BTC,BTC_D1_RSI2,2025-08-24,2025-08-27,113456.1,111268.6,-1.93,9510.4
BTC,BTC_D1_RSI2,2025-08-30,2025-09-02,108750.0,111196.9,2.25,9724.39
BTC,BTC_D1_RSI2,2025-09-05,2025-09-08,110647.8,112050.1,1.27,9847.63
BTC,BTC_D1_RSI2,2025-09-14,2025-09-17,115390.6,116469.0,0.93,9939.67
BTC,BTC_D1_RSI2,2025-09-20,2025-09-23,115739.1,112001.5,-3.23,9618.68
BTC,BTC_D1_RSI2,2025-09-23,2025-09-26,112001.5,109706.3,-2.05,9421.57
BTC,BTC_D1_RSI2,2025-10-10,2025-10-13,113000.1,115165.5,1.92,9602.11
BTC,BTC_D1_RSI2,2025-10-14,2025-10-17,113106.2,106451.0,-5.88,9037.12
BTC,BTC_D1_RSI2,2025-10-17,2025-10-20,106451.0,110574.4,3.87,9387.18
BTC,BTC_D1_RSI2,2025-10-22,2025-10-25,107644.1,111645.2,3.72,9736.1
BTC,BTC_D1_RSI2,2025-10-28,2025-10-31,112918.0,109552.7,-2.98,9445.93
BTC,BTC_D1_RSI2,2025-11-04,2025-11-07,101537.3,103279.9,1.72,9608.04
BTC,BTC_D1_RSI2,2025-11-12,2025-11-15,101666.6,95537.9,-6.03,9028.85
BTC,BTC_D1_RSI2,2025-11-17,2025-11-20,92101.3,86503.0,-6.08,8480.04
BTC,BTC_D1_RSI2,2025-11-20,2025-11-23,86503.0,86777.4,0.32,8506.94
BTC,BTC_D1_RSI2,2025-11-29,2025-12-02,90833.6,91313.5,0.53,8551.88
BTC,BTC_D1_RSI2,2025-12-05,2025-12-08,89332.4,90650.1,1.48,8678.03
BTC,BTC_D1_RSI2,2025-12-13,2025-12-16,90254.1,87840.7,-2.67,8445.97
BTC,BTC_D1_RSI2,2025-12-18,2025-12-21,85462.5,88622.2,3.7,8758.24
BTC,BTC_D1_RSI2,2025-12-23,2025-12-26,87416.4,87303.6,-0.13,8746.94
