entry_date,exit_date,entry_price,exit_price,rsi2,ma200,atr_pct,atr_median,return_pct,capital_after
2025-01-19,2025-01-22,3210.68,3239.35,0.0,2979.14,6.66,5.25,0.89,10089.3
2025-01-26,2025-01-29,3233.47,3113.22,7.16,2988.23,6.54,5.25,-3.72,9714.08
2025-08-01,2025-08-04,3485.96,3719.99,0.0,2497.63,5.29,5.25,6.71,10366.24
2025-08-15,2025-08-18,4443.2,4312.56,0.0,2551.16,5.32,5.25,-2.94,10061.45
2025-08-19,2025-08-22,4074.66,4830.0,0.0,2573.89,5.94,5.25,18.54,11926.59
2025-08-24,2025-08-27,4779.18,4506.04,4.46,2616.65,5.76,5.25,-5.72,11244.96
2025-08-28,2025-08-31,4512.18,4391.93,6.08,2653.77,6.09,5.25,-2.67,10945.28
2025-09-05,2025-09-08,4307.02,4307.5,4.96,2720.36,5.29,5.25,0.01,10946.5
2025-10-10,2025-10-13,3837.22,4244.36,0.0,3097.77,6.21,5.25,10.61,12107.96
2025-10-15,2025-10-18,3987.78,3889.37,0.0,3150.09,7.5,5.25,-2.47,11809.16
2025-10-21,2025-10-24,3874.68,3935.68,0.0,3212.59,7.93,5.25,1.57,11995.07
