asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
BTC,1,1,99,35.35,-0.65,-0.46,1.69,-1.92,0.48,-0.65,-13.91,5.21,-2.03,0.88,64.65,59.31,123.18,2.53,2.06,-0.26,-0.31,9.0,6.0
BTC,1,2,99,42.42,-0.67,-0.38,2.05,-2.67,0.56,-0.67,-11.01,4.91,1.4,0.77,57.58,85.96,152.43,3.13,2.5,-0.21,-0.27,11.0,5.0
BTC,1,3,98,54.08,-0.16,0.44,2.57,-3.37,0.9,-0.16,-10.52,6.4,43.28,0.76,45.92,136.19,151.65,3.7,2.63,-0.04,-0.06,3.0,6.0
BTC,1,4,98,55.1,0.09,0.48,3.15,-3.67,1.06,0.09,-14.41,9.62,56.82,0.86,44.9,170.29,161.31,4.31,3.0,0.02,0.03,3.0,7.0
BTC,1,5,98,48.98,0.17,-0.03,4.08,-3.57,1.1,0.17,-14.67,10.35,48.51,1.14,51.02,195.83,178.69,4.91,3.17,0.04,0.06,8.0,6.0
BTC,1,6,98,52.04,0.35,0.2,4.44,-4.1,1.18,0.35,-18.39,11.13,68.14,1.08,47.96,226.3,192.48,5.39,3.74,0.06,0.09,5.0,7.0
BTC,1,7,98,55.1,-0.07,0.42,4.17,-5.28,0.97,-0.07,-25.63,12.29,48.56,0.79,44.9,225.35,232.4,6.17,4.74,-0.01,-0.02,7.0,7.0
BTC,1,8,98,51.02,-0.28,0.05,4.49,-5.25,0.89,-0.28,-16.75,11.35,37.03,0.86,48.98,224.74,252.19,6.15,4.24,-0.05,-0.07,6.0,7.0
BTC,1,9,98,48.98,-0.05,-0.19,4.94,-4.83,0.98,-0.05,-18.04,12.4,37.31,1.02,51.02,237.08,241.72,6.27,4.38,-0.01,-0.01,6.0,7.0
BTC,1,10,98,48.98,0.0,-0.12,5.54,-5.32,1.0,0.0,-18.14,14.48,39.65,1.04,51.02,265.98,265.86,6.75,4.42,0.0,0.0,6.0,7.0
BTC,2,1,99,48.48,-0.01,-0.04,1.84,-1.75,0.99,-0.01,-7.05,12.2,38.71,1.05,51.52,88.09,89.17,2.58,1.77,-0.0,-0.01,6.0,5.0
