asset,entry_day,trades,median_return_pct,p5_return_pct,p95_return_pct,probability_loss_pct,median_max_drawdown_pct,p95_max_drawdown_pct,worst_max_drawdown_pct
ADA,DAY1,99,-4.855229350053225,-10.079410201600224,0.8972950612537345,91.78,-6.300906605482615,-2.781063430348463,-17.52397774910468
ADA,DAY2,69,1.819091731501088,-3.4626210367356616,7.131752503288613,28.96,-2.4588830305964757,-1.177083855004613,-8.599349397288869
ADA,DAY3,40,0.42643807321081084,-3.218416099724549,4.132151031698581,42.32,-1.8979974925980414,-0.7930447596923551,-7.430337813222376
AVAX,DAY1,105,-1.6845083241418146,-8.209734102877826,5.437901857110781,65.56,-4.9290348102465575,-2.334809807143454,-16.073210498357817
AVAX,DAY2,58,-0.7279756139682958,-4.635125385802508,3.2126114229630587,61.980000000000004,-2.6532036862989052,-1.2331552524727454,-10.883480398529077
AVAX,DAY3,31,1.8084769363033493,-0.9702689934111453,4.602387728111395,13.88,-1.0253966298442163,-0.5234999999999879,-4.784216634907623
BTC,DAY1,99,-0.2443615698099033,-3.2691433838677164,2.8308334225663017,55.379999999999995,-2.0363053416682653,-0.9743058650858025,-7.732526875469514
BTC,DAY2,65,2.453663374815329,-0.20320605515388668,5.0306893000337585,6.260000000000001,-0.9116163925635634,-0.48709021279311465,-3.9371997755259347
BTC,DAY3,31,2.4346951996289334,0.7944431707674217,4.31844870115275,0.6,-0.3687233401764023,-0.19000000000001238,-1.6274985161978228
DOGE,DAY1,103,-4.951372115157765,-10.068826851967813,0.8945051696073892,92.16,-6.373692658239255,-2.7912886224000655,-17.7152795069929
DOGE,DAY2,61,1.3681610560601576,-2.681180542578783,5.88309279564684,29.799999999999997,-2.0665716847514224,-1.0303028965338903,-7.957620533008914
DOGE,DAY3,36,2.054916120266792,-0.4565832389559781,4.529169374520324,9.379999999999999,-0.8680719914730239,-0.4096184170469702,-4.296262633192449
ETH,DAY1,105,0.7646940950480019,-5.00570182605252,7.3911536583656545,41.24,-3.2395868870456646,-1.6010737183111725,-11.303835653368132
ETH,DAY2,58,0.6309855082149429,-3.2872101604842183,4.479254008773456,39.879999999999995,-2.040927754284322,-0.9440948252299624,-8.44849879034365
ETH,DAY3,26,0.4727527939327847,-2.6028439480278927,3.319127279850052,40.5,-1.4229702752079298,-0.5083755514265523,-7.953097639737116
LINK,DAY1,107,0.346942205985612,-6.026050191358023,7.3877464144076885,46.58,-3.8278114312268965,-1.933285423033165,-14.303821490280487
LINK,DAY2,68,5.441182148256518,0.8022101118258453,10.277586829910911,2.7199999999999998,-1.416640583735801,-0.7568946491519707,-6.577057280573317
LINK,DAY3,34,4.324616839967055,1.039092402563807,7.627791832354183,1.32,-0.8510502154576882,-0.35967602250001063,-4.685870188699925
LTC,DAY1,109,5.827153016339626,0.4968009658118967,11.88544509668591,3.74,-1.7472709881980075,-0.9841325122929432,-6.601231324832635
LTC,DAY2,56,5.516208411130541,2.0122798488856444,9.163037923529373,0.42,-0.8918307663684621,-0.49644357221348023,-4.467187038717391
LTC,DAY3,28,1.9793523522695478,-1.005442725278281,4.7792107117102605,13.3,-1.1644355848093424,-0.6044999999999856,-6.079054233066417
SOL,DAY1,97,-3.664682841277078,-8.800023155915131,1.6453259258279245,87.52,-5.310461768507091,-2.409817536102194,-14.341634653530576
SOL,DAY2,63,1.668407475243816,-2.227293336778381,5.386608140809643,23.7,-1.747087303181838,-0.8495000000000141,-8.820230088980418
SOL,DAY3,38,2.7836547937740264,-0.44010637046778595,5.755267854985031,7.6,-1.1168442522045186,-0.4756491483246108,-5.560406779892279
XRP,DAY1,98,-1.5444836881147228,-6.080453436261636,3.8229884204820297,68.54,-3.7738416571738598,-1.774360975880258,-11.485459524337326
XRP,DAY2,62,2.5912197285339333,-1.2361872295470122,6.622445138312745,12.86,-1.5005089954059192,-0.7639641528145243,-6.129592279777163
XRP,DAY3,36,4.002236567465256,0.6912429622422578,7.89663168011296,2.32,-0.8064665882617894,-0.4444999999999921,-3.323861762666569
