rank,asset,research_score,status,expected_value_pct,expected_value_score,profit_factor,profit_factor_score,win_rate_pct,win_rate_score,opportunity_score,opportunity_score_component,confidence_score,confidence_score_component,market_bias,market_bias_score,atr_pct,atr_score,current_phase,recommendation,bucket
1,LTC,72.75,WATCH,1.41,70.0,1.91,90.0,61.11,100.0,35.0,35.0,95.0,95.0,BEAR,35.0,4.33,80.0,NO_OVERSOLD,HISTORICALLY_STRONG_NO_SIGNAL,HISTORICAL_WATCHLIST
2,LINK,71.25,WATCH,1.38,70.0,1.52,75.0,51.43,70.0,85.0,85.0,80.0,80.0,BEAR,35.0,4.95,80.0,OVERSOLD_DAY_1,DAY1_OBSERVE_ONLY,ACTIVE_OPPORTUNITY
3,BTC,69.5,WAIT,1.07,70.0,1.83,90.0,57.14,85.0,35.0,35.0,85.0,85.0,BEAR,35.0,3.49,80.0,NO_OVERSOLD,HISTORICALLY_STRONG_NO_SIGNAL,HISTORICAL_WATCHLIST
4,XRP,66.0,WAIT,2.08,100.0,1.54,75.0,46.39,45.0,35.0,35.0,65.0,65.0,BEAR,35.0,4.72,80.0,NO_OVERSOLD,HISTORICALLY_STRONG_NO_SIGNAL,HISTORICAL_WATCHLIST
5,ADA,59.45,WAIT,1.39,70.0,1.4,50.0,48.98,45.0,93.0,93.0,50.0,50.0,BEAR_HIGH_VOL,35.0,6.25,55.0,OVERSOLD_DAY_1,DAY1_OBSERVE_ONLY,ACTIVE_OPPORTUNITY
6,DOGE,56.2,WAIT,0.79,45.0,1.26,50.0,52.94,70.0,73.0,73.0,60.0,60.0,BEAR,35.0,4.61,80.0,OVERSOLD_DAY_1,DAY1_OBSERVE_ONLY,ACTIVE_OPPORTUNITY
7,SOL,49.7,IGNORE,0.66,45.0,1.37,50.0,55.67,85.0,23.0,23.0,60.0,60.0,BEAR_HIGH_VOL,35.0,5.82,55.0,NO_OVERSOLD,NO_ACTION,NO_ACTION
8,ETH,47.45,IGNORE,0.9,45.0,1.24,50.0,53.33,70.0,23.0,23.0,60.0,60.0,BEAR_HIGH_VOL,35.0,5.04,55.0,NO_OVERSOLD,NO_ACTION,NO_ACTION
9,NVDA,30.25,IGNORE,,0.0,,0.0,,0.0,55.0,55.0,70.0,70.0,BULL,100.0,2.3055,100.0,NEAR_OVERSOLD,WATCHLIST,
10,QQQ,30.25,IGNORE,,0.0,,0.0,,0.0,55.0,55.0,70.0,70.0,BULL,100.0,2.1818,100.0,NEAR_OVERSOLD,WATCHLIST,
11,SPY,30.25,IGNORE,,0.0,,0.0,,0.0,55.0,55.0,70.0,70.0,BULL,100.0,1.1289,100.0,NEAR_OVERSOLD,WATCHLIST,
12,AVAX,16.0,IGNORE,,0.0,,0.0,,0.0,65.0,65.0,0.0,0.0,BEAR_HIGH_VOL,35.0,7.66,55.0,OVERSOLD_DAY_1,DAY1_OBSERVE_ONLY,ACTIVE_OPPORTUNITY
13,GLD,15.25,IGNORE,,0.0,,0.0,,0.0,5.0,5.0,60.0,60.0,BEAR,35.0,2.04,100.0,NO_SIGNAL,NO_ACTION,
